N,Wide_Area,Narrow_Area,Wide_Rel_Error,Narrow_Rel_Error
100,0.90000000,0.87880000,0.04713221,0.06957754
600,0.82500000,0.96611667,0.12653786,0.02286828
1100,1.00636364,0.93871818,0.06547943,0.00613965
1600,0.94500000,0.91576875,0.00051118,0.03043718
2100,1.02000000,0.93271905,0.07991682,0.01249118
2600,0.87576923,0.97305000,0.07278635,0.03020889
3100,1.04225806,0.92186774,0.10348237,0.02397992
3600,1.03250000,0.95391111,0.09315110,0.00994574
4100,0.93731707,0.95381951,0.00762306,0.00984876
4600,0.98217391,0.94052174,0.03986876,0.00423015
5100,0.89294118,0.93679020,0.05460569,0.00818089
5600,0.95785714,0.93553571,0.01412357,0.00950906
6100,0.90147541,0.93836557,0.04557014,0.00651297
6600,0.99545455,0.95126515,0.05392952,0.00714435
7100,0.96971831,0.94116338,0.02668149,0.00355081
7600,0.93671053,0.95218158,0.00826524,0.00811461
8100,0.91444444,0.92824815,0.03183927,0.01722471
8600,0.92197674,0.94482791,0.02386451,0.00032897
9100,0.97912088,0.93860000,0.03663638,0.00626477
9600,0.98156250,0.94904063,0.03922143,0.00478915
10100,0.96861386,0.93836832,0.02551216,0.00651007
10600,0.96028302,0.94241415,0.01669195,0.00222657
11100,0.93891892,0.94030991,0.00592712,0.00445442
11600,0.95431034,0.93663879,0.01036843,0.00834119
12100,0.90743802,0.93788017,0.03925727,0.00702689
12600,0.93214286,0.94452222,0.01310122,0.00000533
13100,0.94534351,0.94227176,0.00087487,0.00237733
13600,0.90860294,0.94838824,0.03802392,0.00409844
14100,0.93000000,0.95011560,0.01536995,0.00592728
14600,0.94130137,0.94906233,0.00340472,0.00481213
15100,0.95841060,0.94304238,0.01470954,0.00156143
15600,0.90923077,0.93892500,0.03735921,0.00592068
16100,0.93130435,0.94272609,0.01398899,0.00189631
16600,0.90921687,0.94568735,0.03737393,0.00123890
17100,0.92368421,0.93562749,0.02205675,0.00941190
17600,0.91840909,0.94102273,0.02764174,0.00369973
18100,0.93580110,0.94602652,0.00922808,0.00159799
18600,0.92709677,0.94321989,0.01844372,0.00137350
19100,0.95795812,0.94631152,0.01423048,0.00189974
19600,0.94178571,0.94260612,0.00289192,0.00202332
20100,0.95059701,0.94051443,0.00643697,0.00423789
20600,0.96466019,0.93934466,0.02132625,0.00547637
21100,0.95374408,0.94415735,0.00976890,0.00038098
21600,0.90166667,0.93967130,0.04536764,0.00513055
22100,0.95742081,0.94938235,0.01366161,0.00515096
22600,0.94818584,0.94475487,0.00388416,0.00025164
23100,0.94402597,0.95466710,0.00052007,0.01074614
23600,0.95377119,0.95284492,0.00979760,0.00881692
24100,0.93136929,0.93770456,0.01392022,0.00721281
24600,0.94134146,0.94440772,0.00336227,0.00011589
25100,0.95127490,0.94942988,0.00715468,0.00520128
25600,0.96644531,0.94679609,0.02321623,0.00241278
26100,0.93896552,0.94665900,0.00587778,0.00226763
26600,0.94500000,0.94144436,0.00051118,0.00325333
27100,0.94250923,0.93723284,0.00212591,0.00771224
27600,0.95934783,0.94401196,0.01570182,0.00053491
28100,0.90992883,0.94994840,0.03662015,0.00575025
28600,0.94216783,0.94462727,0.00248736,0.00011655
29100,0.94639175,0.94442543,0.00198468,0.00009715
29600,0.94256757,0.94451588,0.00206414,0.00000138
30100,0.99239203,0.93831495,0.05068710,0.00656657
30600,0.94147059,0.94441176,0.00322556,0.00011161
31100,0.95700965,0.94906270,0.01322629,0.00481253
31600,0.94300633,0.95431519,0.00159961,0.01037356
32100,0.93448598,0.94629470,0.01062046,0.00188193
32600,0.90524540,0.94743681,0.04157869,0.00309113
33100,0.94078550,0.93996677,0.00395089,0.00481772
33600,0.94660714,0.94755685,0.00221273,0.00321821
34100,0.93774194,0.94337683,0.00717324,0.00120734
34600,0.92523121,0.94464162,0.02041887,0.00013174
35100,0.94846154,0.94529259,0.00417605,0.00082096
35600,0.92250000,0.94772921,0.02331052,0.00340071
36100,0.94587258,0.94663407,0.00143501,0.00224124
36600,0.94377049,0.94418361,0.00079056,0.00035317
37100,0.94851752,0.94762992,0.00423532,0.00329558
37600,0.94691489,0.94428750,0.00253855,0.00024318
38100,0.94204724,0.94404908,0.00261503,0.00049560
38600,0.95222798,0.94355415,0.00816374,0.00101961
39100,0.95156010,0.95059258,0.00745663,0.00643228
39600,0.93568182,0.94874722,0.00935437,0.00447852
40100,0.94174564,0.93923541,0.00293436,0.00559204
40600,0.93568966,0.93824138,0.00934608,0.00664446
41100,0.94664234,0.94031436,0.00224999,0.00444971
41600,0.90973558,0.94668438,0.03682475,0.00229449
42100,0.96156770,0.94531615,0.01805209,0.00084590
42600,0.94035211,0.94417840,0.00440974,0.00035868
43100,0.92902552,0.94004780,0.01640167,0.00473193
43600,0.95222477,0.94205872,0.00816034,0.00260289
44100,0.93714286,0.94206961,0.00780751,0.00259135
44600,0.94318386,0.94704417,0.00141165,0.00267542
45100,0.95048780,0.94681220,0.00632134,0.00242982
45600,0.95309211,0.94321272,0.00907863,0.00138109
46100,0.93650759,0.93932473,0.00848009,0.00549747
46600,0.94094421,0.94886609,0.00378286,0.00460437
47100,0.95350318,0.94417537,0.00951385,0.00036189
47600,0.93705882,0.94363067,0.00789648,0.00093859
48100,0.93106029,0.94510000,0.01424738,0.00061705
48600,0.92351852,0.94260967,0.02223217,0.00201957
49100,0.93995927,0.94681303,0.00482566,0.00243071
49600,0.94427419,0.94316310,0.00025727,0.00143362
50100,0.94616766,0.94339780,0.00174743,0.00118514
50600,0.93148221,0.94055514,0.01380067,0.00419479
51100,0.95882583,0.94094305,0.01514916,0.00378408
51600,0.96104651,0.94479516,0.01750029,0.00029430
52100,0.93437620,0.94669194,0.01073669,0.00230250
52600,0.94226236,0.93968498,0.00238728,0.00511606
53100,0.95915254,0.94452222,0.01549507,0.00000533
53600,0.94029851,0.95081418,0.00446649,0.00666689
54100,0.95040665,0.94355730,0.00623543,0.00101627
54600,0.95340659,0.94865952,0.00941159,0.00438567
55100,0.95014519,0.94115517,0.00595860,0.00355950
55600,0.94224820,0.94451547,0.00240227,0.00000182
56100,0.94652406,0.93624795,0.00212477,0.00875499
56600,0.94754417,0.94571325,0.00320479,0.00126632
57100,0.94350263,0.94841261,0.00107416,0.00412425
57600,0.96609375,0.94862986,0.02284401,0.00435426
58100,0.93547332,0.94482926,0.00957512,0.00033041
58600,0.94284983,0.95173532,0.00176530,0.00764215
59100,0.95604061,0.94385499,0.01220033,0.00070109
59600,0.94666107,0.94342265,0.00226982,0.00115883
60100,0.92620632,0.94403794,0.01938648,0.00050740
60600,0.94202970,0.94631634,0.00263360,0.00190484
61100,0.96039280,0.94440851,0.01680818,0.00011506
61600,0.95771104,0.93836153,0.01396889,0.00651726
62100,0.96840580,0.94367858,0.02529188,0.00088786
62600,0.93867412,0.93927284,0.00618630,0.00555241
63100,0.91939778,0.94781949,0.02659497,0.00349629
63600,0.94768868,0.95065157,0.00335779,0.00649473
64100,0.94352574,0.94624181,0.00104968,0.00182593
64600,0.95140867,0.94197879,0.00729630,0.00268750
65100,0.94368664,0.94115607,0.00087934,0.00355856
65600,0.94143293,0.94691524,0.00326543,0.00253892
66100,0.95228442,0.94657897,0.00822349,0.00218290
66600,0.96824324,0.94721201,0.02511977,0.00285313
67100,0.95633383,0.93869300,0.01251078,0.00616631
67600,0.94433432,0.94567500,0.00019361,0.00122583
68100,0.93317181,0.94870793,0.01201183,0.00443692
68600,0.95221574,0.93760510,0.00815079,0.00731811
69100,0.96316932,0.94099493,0.01974780,0.00372916
69600,0.94409483,0.94360761,0.00044717,0.00096300
70100,0.95276748,0.94172297,0.00873493,0.00295836
70600,0.94436261,0.94407805,0.00016366,0.00046494
71100,0.93658228,0.94067159,0.00840102,0.00407149
71600,0.95317039,0.94290670,0.00916151,0.00170508
72100,0.95692094,0.94218086,0.01313238,0.00247357
72600,0.93533058,0.94628361,0.00972625,0.00187019
73100,0.93521204,0.94133694,0.00985175,0.00336706
73600,0.94695652,0.94697405,0.00258263,0.00260118
74100,0.94834008,0.94377719,0.00404746,0.00078346
74600,0.95139410,0.93774611,0.00728088,0.00716882
75100,0.94541944,0.94862783,0.00095526,0.00435211
75600,0.96559524,0.94720476,0.02231622,0.00284545
76100,0.94990802,0.94886505,0.00570750,0.00460326
76600,0.94711488,0.94194334,0.00275029,0.00272504
77100,0.95416342,0.94201608,0.01021288,0.00264802
77600,0.94987113,0.94707513,0.00566845,0.00270820
78100,0.94551857,0.94484200,0.00106020,0.00034389
78600,0.92977099,0.94158372,0.01561241,0.00310579
79100,0.95575221,0.94394298,0.01189499,0.00060793
79600,0.95167085,0.94637877,0.00757389,0.00197094
80100,0.97123596,0.94589363,0.02828828,0.00145730
80600,0.94812655,0.94558226,0.00382139,0.00112764
81100,0.92840937,0.94381603,0.01705402,0.00074234
81600,0.95117647,0.94503309,0.00705046,0.00054621
82100,0.94472594,0.93946297,0.00022102,0.00535111
82600,0.92680387,0.94682966,0.01875383,0.00244831
83100,0.93379061,0.94609495,0.01135667,0.00167044
83600,0.94370813,0.93970873,0.00085658,0.00509091
84100,0.92600476,0.94654067,0.01959989,0.00214234
84600,0.94882979,0.94687943,0.00456593,0.00250101
85100,0.93881316,0.94411622,0.00603909,0.00042452
85600,0.94047897,0.94687383,0.00427543,0.00249508
86100,0.94128920,0.93850941,0.00341761,0.00636069
86600,0.94551963,0.94632194,0.00106133,0.00191077
87100,0.93606200,0.94178209,0.00895186,0.00289576
87600,0.95239726,0.94414281,0.00834297,0.00039637
88100,0.95945516,0.94467355,0.01581547,0.00016555
88600,0.94357788,0.94447348,0.00099448,0.00004628
89100,0.94656566,0.94122189,0.00216880,0.00348887
89600,0.95152902,0.94179777,0.00742372,0.00287916
90100,0.96542730,0.94701898,0.02213842,0.00264875
90600,0.94082781,0.94535541,0.00390609,0.00088746
91100,0.95344676,0.94313502,0.00945412,0.00146336
91600,0.93782751,0.94073592,0.00708264,0.00400339
92100,0.94925081,0.94463844,0.00501169,0.00012837
92600,0.96025918,0.94453844,0.01666671,0.00002251
93100,0.94910849,0.94460290,0.00486100,0.00009075
93600,0.92750000,0.94298750,0.01801681,0.00161954
94100,0.94543039,0.94323911,0.00096685,0.00135316
94600,0.94071882,0.94254123,0.00402149,0.00209203
95100,0.94287066,0.94215279,0.00174324,0.00250329
95600,0.94170502,0.95265795,0.00297736,0.00861897
96100,0.94926119,0.94627690,0.00502267,0.00186308
96600,0.94779503,0.94244617,0.00347039,0.00219267
97100,0.94189495,0.94695695,0.00277627,0.00258308
97600,0.95625000,0.94498012,0.01242202,0.00049013
98100,0.93284404,0.94197258,0.01235885,0.00269408
98600,0.95011156,0.94412039,0.00592300,0.00042011
99100,0.94595358,0.94496751,0.00152077,0.00047677
99600,0.94048193,0.94677329,0.00427230,0.00238864
